InventoryItem,Parent
CARROT - GAJAR,MIX VEGETABLE BIRYANI (SABZI)
CUCUMBER - KEHRA,MIX VEGETABLE BIRYANI (SABZI)
Tinda,MIX VEGETABLE BIRYANI (SABZI)
TOMATO,MIX VEGETABLE BIRYANI (SABZI)
GINGER - ADRAK,MIX VEGETABLE BIRYANI (SABZI)
GARLIC - LEHSAN,MIX VEGETABLE BIRYANI (SABZI)
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,MIX VEGETABLE BIRYANI (SABZI)
CORIANDER - KOTHMIR DHANIA,MIX VEGETABLE BIRYANI (SABZI)
PODINA MINT LEAVES,MIX VEGETABLE BIRYANI (SABZI)
CHICKEN POWDER,MIX VEGETABLE BIRYANI (SABZI)
GARAM MASALA WHOLE,MIX VEGETABLE BIRYANI (SABZI)
BLACK PEPPER POWDER,MIX VEGETABLE BIRYANI (SABZI)
WHITE PEPPER POWDER,MIX VEGETABLE BIRYANI (SABZI)
007 BIRYANI MASALA,MIX VEGETABLE BIRYANI (SABZI)
EVA (Cooking Oil  liter Pkt),MIX VEGETABLE BIRYANI (SABZI)
CUMMIN SEEDS - ZEERA,BEEF TARKARI
CUMMIN POWDER - ZEERA,BEEF TARKARI
TURMERIC POWDER - HALDI,BEEF TARKARI
CORIANDER POWDER - DHANIA,BEEF TARKARI
GARAM MASALA POWDER,BEEF TARKARI
CHICKEN POWDER,BEEF TARKARI
TOMATO,BEEF TARKARI
GINGER PASTE  ADRAK PASTE,BEEF TARKARI
GARLIC PASTE  LEHSAN PASTE,BEEF TARKARI
CORIANDER - KOTHMIR DHANIA,BEEF TARKARI
BEEF MEAT,BEEF TARKARI
SALT,BEEF TARKARI
GARAM MASALA WHOLE,BEEF TARKARI
ONION BIRISTA,BEEF TARKARI
EVA (Cooking Oil  liter Pkt),BEEF TARKARI
 DAHI CURD,BEEF TARKARI
RED POTATO - LAL ALOO,BEEF TARKARI
ONION,BEEF TARKARI
EVA (Cooking Oil  liter Pkt),WHITE CHICKEN TARKARI
Kajju,WHITE CHICKEN TARKARI
COCONUT POWDER KHOPRRA,WHITE CHICKEN TARKARI
CHICKEN KARAHI CUT MEAT,WHITE CHICKEN TARKARI
ONION,WHITE CHICKEN TARKARI
CORIANDER - KOTHMIR DHANIA,WHITE CHICKEN TARKARI
CUMMIN POWDER - ZEERA,WHITE CHICKEN TARKARI
SALT,WHITE CHICKEN TARKARI
MILK TETRAPACK 1000ml,WHITE CHICKEN TARKARI
GARAM MASALA WHOLE,WHITE CHICKEN TARKARI
COCONUT MILK POWDER,WHITE CHICKEN TARKARI
CORN FLOUR ,WHITE CHICKEN TARKARI
CHICKEN POWDER,WHITE CHICKEN TARKARI
 DAHI CURD,WHITE CHICKEN TARKARI
BLACK PEPPER POWDER,WHITE CHICKEN TARKARI
WHITE PEPPER POWDER,WHITE CHICKEN TARKARI
CUMMIN SEEDS - ZEERA,WHITE CHICKEN TARKARI
GINGER PASTE  ADRAK PASTE,WHITE CHICKEN TARKARI
GARLIC PASTE  LEHSAN PASTE,WHITE CHICKEN TARKARI
MASOOR DAAL RED WASHED,MONG DAAL
EVA (Cooking Oil  liter Pkt),MONG DAAL
ONION,MONG DAAL
TOMATO,MONG DAAL
GINGER - ADRAK,MONG DAAL
GARLIC - LEHSAN,MONG DAAL
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,MONG DAAL
CORIANDER - KOTHMIR DHANIA,MONG DAAL
DUDHI LOKHI,MONG DAAL
RED POTATO - LAL ALOO,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
ONION,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
TOMATO,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
GINGER - ADRAK,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
GARLIC - LEHSAN,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CORIANDER - KOTHMIR DHANIA,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
PODINA MINT LEAVES,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
BHAJIA CHILLIES - BIG PAKORA MIRCH,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CHICKEN KARAHI CUT MEAT,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CHICKEN BONELESS,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
ONION BIRISTA,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
Alubukhara (Plam),Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
VINEGAR,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
TOMATO KETCHUP,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
EVA (Cooking Oil  liter Pkt),Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
 DAHI CURD,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CUMMIN SEEDS - ZEERA,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CUMMIN POWDER - ZEERA,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
TURMERIC POWDER - HALDI,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CORIANDER POWDER - DHANIA,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
GARAM MASALA WHOLE,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CHICKEN POWDER,Aloo Tarkari and Chicken White Pulow and Tomato Soup and Malai Boti
CHICKEN QEEMA,CHICKEN QEEMA WITH MATTAR ALLOW
MATTAR PEAS,CHICKEN QEEMA WITH MATTAR ALLOW
TOMATO,CHICKEN QEEMA WITH MATTAR ALLOW
GINGER PASTE  ADRAK PASTE,CHICKEN QEEMA WITH MATTAR ALLOW
GARLIC PASTE  LEHSAN PASTE,CHICKEN QEEMA WITH MATTAR ALLOW
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHICKEN QEEMA WITH MATTAR ALLOW
EVA (Cooking Oil  liter Pkt),CHICKEN QEEMA WITH MATTAR ALLOW
GARAM MASALA POWDER,CHICKEN QEEMA WITH MATTAR ALLOW
RED POTATO - LAL ALOO,CHICKEN QEEMA WITH MATTAR ALLOW
ONION,CHICKEN QEEMA WITH MATTAR ALLOW
 DAHI CURD,CHICKEN QEEMA WITH MATTAR ALLOW
CORIANDER - KOTHMIR DHANIA,CHICKEN QEEMA WITH MATTAR ALLOW
CUMMIN SEEDS - ZEERA,CHICKEN QEEMA WITH MATTAR ALLOW
CUMMIN POWDER - ZEERA,CHICKEN QEEMA WITH MATTAR ALLOW
TURMERIC POWDER - HALDI,CHICKEN QEEMA WITH MATTAR ALLOW
CORIANDER POWDER - DHANIA,CHICKEN QEEMA WITH MATTAR ALLOW
CHICKEN POWDER,CHICKEN QEEMA WITH MATTAR ALLOW
POTATO (BIG SIZE),"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
ONION,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
